                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.58602,                 5.7792,                0.42101,                0.50474,                 1.1145,                0.96367,                0.95333,                0.98855,                0.77459,                0.37511,                0.38667,                0.18583,                0.04253,                0.83418,                 5.2831,                0.17617,                0.49399,                 1.2475,              0.0096337,              0.0096337,              0.0096337
                     39,                0.57153,                 5.6993,                0.41802,                0.50221,                 1.1143,                0.96645,                0.96024,                0.98386,                0.74627,                  0.407,                0.41333,                0.19108,                0.03641,                0.86331,                 5.3236,                0.20163,                0.48568,                 1.3037,              0.0096238,              0.0096238,              0.0096238
                     40,                0.58602,                 5.6857,                0.41252,                0.50526,                 1.1191,                0.98944,                   0.98,                0.99403,                0.79194,                0.40122,                0.41545,                0.20354,                0.05161,                0.82076,                 5.2714,                0.19328,                0.47665,                 1.2324,              0.0096139,              0.0096139,              0.0096139
                     41,                0.56518,                 5.7558,                0.41535,                0.48162,                 1.0961,                 0.9733,                   0.96,                 0.9878,                0.78668,                0.40603,                    0.4,                0.19259,                0.04311,                 0.8003,                 5.1402,                0.21279,                 0.4683,                 1.2211,               0.009604,               0.009604,               0.009604
                     42,                0.56848,                   5.64,                0.40514,                0.49622,                 1.1059,                0.93571,                0.97024,                0.98403,                0.75271,                0.38779,                0.38667,                 0.1741,                0.04223,                0.85725,                 5.1061,                0.21173,                0.52371,                 1.2725,              0.0095941,              0.0095941,              0.0095941
                     43,                0.56298,                 5.5557,                0.41385,                0.48812,                 1.0903,                0.92389,                0.97116,                0.98157,                0.76172,                0.42348,                   0.46,                0.23589,                0.05109,                0.86314,                 4.9793,                0.17579,                0.52659,                 1.2958,              0.0095842,              0.0095842,              0.0095842
                     44,                0.55707,                 5.6585,                0.40638,                0.48492,                 1.0967,                0.95276,                0.94667,                0.97047,                0.73026,                0.42581,                   0.42,                0.20342,                0.04264,                0.91596,                 5.2823,                0.17698,                0.51823,                 1.3504,              0.0095743,              0.0095743,              0.0095743
                     45,                0.55764,                 5.6246,                0.40155,                 0.4853,                 1.0976,                0.93533,                0.97333,                0.96974,                0.75936,                0.43483,                0.45333,                0.22957,                0.05316,                0.83947,                 5.0484,                 0.1857,                0.48745,                 1.2902,              0.0095644,              0.0095644,              0.0095644
                     46,                0.55359,                  5.522,                0.39955,                0.48112,                 1.0958,                0.95423,                0.97298,                0.97402,                0.74468,                0.44714,                0.46667,                 0.2237,                0.04738,                 0.8806,                 5.0491,                0.19018,                0.50788,                 1.3329,              0.0095545,              0.0095545,              0.0095545
                     47,                0.55186,                 5.4358,                0.40096,                0.47717,                 1.0909,                0.96127,                0.99281,                0.98876,                0.77307,                  0.425,                0.42667,                0.21863,                0.05317,                0.85555,                 4.9178,                0.17588,                0.47855,                 1.3094,              0.0095446,              0.0095446,              0.0095446
                     48,                0.57268,                 5.5997,                0.39863,                0.48914,                 1.1047,                0.95395,                0.96662,                0.98818,                0.76983,                0.43585,                   0.44,                0.20939,                0.04975,                0.84784,                 5.0575,                0.18435,                0.47958,                   1.28,              0.0095347,              0.0095347,              0.0095347
                     49,                 0.5366,                 5.5178,                0.39703,                0.46967,                 1.0842,                0.96065,                0.97646,                0.98183,                0.75469,                0.42184,                0.42806,                0.21661,                0.04773,                0.85924,                 5.0384,                0.18145,                0.50376,                 1.3243,              0.0095248,              0.0095248,              0.0095248
